STT,Tên bài hát,Tác giả,Thể loại
2485,Con Gà Điều,Đông Phương Tường,Bolero
2486,Đêm trắng,Ngọc Sơn,Bolero|Ngọc Sơn
2487,Trà hoa nữ,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
2488,Cuối tuần bên anh,Vũ Tuấn Đức,Nhạc trữ tình|Vũ Tuấn Đức
2489,Mực tím,Hoàng Cầm|Nguyên Chi,Bolero
2490,Yêu Đi Rồi Khóc,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2491,Trái Tim Thôi Hết Cô Đơn (Kiếp Ve Sầu),Johnny Dũng,Nhạc trữ tình
2492,Vết Sầu,Anh Thi,Nhạc Trẻ
2493,Người Thứ Ba,Trần Đăng Quang,Nhạc trẻ|Trần Đăng Quang
2494,Một Mình,Giao Tiên,Nhạc trữ tình
2495,Men đắng cuộc tình,Vũ Phương,Vũ Phương|Bolero
2496,Một Ngày Nào Cho Tôi Gặp Lại Em,Vũ Thành An,"Bolero, ĐQ Asia"
2497,Tiếng Chuông Khuya,Giác An,Phật giáo|Giác An
2498,Elaine Trọn Đời Yêu Em,Johnny Dũng,Nhạc trữ tình
2499,Hai Nửa Quê Hương,Phạm Tôn Tẫn  - Hồ Văn Tứ,Nhạc Trữ tình quê hương
2500,Thương mấy cho vừa,Anh Bằng,Bolero
2501,Người tình Sài Gòn,Anh Bằng,Bolero
2502,Người Anh Yêu,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
2503,Lòng Thương Xót Chúa,Thế Thông,Thế Thông|Nhạc thánh ca
2504,Kiếp Xa Quê,Đông Thiên Đức,Ballad|Đông Thiên Đức|pop
2505,Love You Want You,Đỗ Hiếu|Đông Nhi|Huỳnh Hiền Năng,Nhạc trẻ
2506,Vắng Em,Johnny Dũng,Nhạc trữ tình
2507,Tay Tìm Tay Níu Tay,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2508,Tiền lì xì để làm gì?,Nguyễn Văn Chung,Nhạc thiếu nhi
2509,Vì Sao Em Đi,Johnny Dũng,Nhạc trữ tình
2510,Tết cali tết sài gòn,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2511,Tình đợi mong,Khúc Lan,Nhạc ngoại lời Việt
2512,Xuân mộng,Lam Phương,Lam Phương|Bolero
2513,Tình yêu thứ nhất,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
2514,Đợi chờ phố xưa,Lê Quang,Hoàng Tuấn|Lê Quang|Nhạc trữ tình
2515,Lang thang dưới mưa,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
2516,Bỗng Dưng Hết Yêu,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2517,Nếu xuân này em lấy chồng,Lê Minh,Lê Minh|Nhạc trữ tình
2518,Xuân viễn xứ,Vũ Phương,Bolero|Vũ Phương
2519,Tình Yêu Chúa Trao,Anh Thi,Thánh Ca
2520,Nàng tiên của lính (Tình và tiền),Anh Bằng,Bolero
2521,Lễ Dâng Mùa Xuân,Thế Thông,Nhạc thánh ca|Thế Thông
2522,Bài không tên cuối cùng,Vũ Thành An,"Bolero, ĐQ Asia"
2523,Lỡ mai sau,Anh Bằng,Bolero
2524,Bài ca hạnh phúc,Nguyễn Văn Đông,Trữ tình
2525,Đò tình,Lam Phương,Lam Phương|Bolero
2526,Mười niềm vui,Nguyễn Văn Chung,Nhạc thiếu nhi
2527,Tìm Một Ánh Sao,Vĩnh Phúc,Nhạc tình ca
2528,Cuộc Đời Mấy Cái 10 Năm,Nguyễn Quốc Cường|Nhạc Hoa,Nhạc trẻ
2529,Chiều xa quê,Vũ Phương,Vũ Phương|Bolero
2530,Mẹ Truyền Tin,Thế Thông,Thế Thông|Nhạc thánh ca
2531,Có Ai,Bùi Công Nam,Nhạc trẻ
2532,Cơn đau tình ái (Le mal de toi),Khúc Lan,Nhạc ngoại lời Việt
2533,Người đã qua sông,Ngọc Sơn,Bolero|Ngọc Sơn
2534,Nguyện hiến dâng,Sr. Hiền Hòa,Nhạc thánh ca|Sr. Hiền Hòa
2535,Ngọn Nến Lung Linh,Thế Thông,Thế Thông|Nhạc thánh ca
2536,Một bờ vai khác,Đình Dũng,Ballad|Đình Dũng
2537,Đừng Nhìn Lại,Đỗ Hiếu,Nhạc trẻ
2538,Ngày Em Đến,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
2539,Trên Tường Nhà Dưỡng Lão,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2540,Tâm sự nhỏ bé,Bằng Giang,Bolero
2541,Ông bà hiền lắm,Nguyễn Văn Chung,Nhạc thiếu nhi
2542,Ngày mai đẹp phải không em,Anh Bằng,Bolero
2543,Mình Em Với Em,Đỗ Hiếu,Nhạc trẻ
2544,Cùng Mẹ Ra Khơi,Thế Thông,Thế Thông|Nhạc thánh ca
2545,Duyên tình vợ chồng,Sr. Hiền Hòa,Nhạc thánh ca|Sr. Hiền Hòa
2546,Người đến rồi đi,Giao Tiên,Bolero
2547,Vẫn như lầu hoang,Anh Bằng,Bolero
2548,Tình ngoại,Vinh Sử,Bolero
2549,Anh đừng có lo,Anh Bằng,Bolero
2550,Biển Hát Lời Anh Ca,Trần Thanh Tùng,Nhạc trữ tình
2551,Một lần đến thăm anh,Đông Phương Tử,Trữ tình
2552,Còn đây câu hát lý theo chồng,Giao Tiên,Bolero
2553,Hey Boy,Đỗ Hiếu,Nhạc trẻ
2554,Vì Ngài Tôi Hát,Vĩnh Phúc,Nhạc thánh ca
2555,Cao bằng miền đất huyền thoại,Ngô Sỹ Ngọc,Nhạc trữ tình
2556,Xuân Miền Nam,Văn Phụng,"Bolero, ĐQ Asia"
2557,Huế đẹp tình thơ,Vinh Sử,Bolero
2558,Chờ Ngày Nắng Lên,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2559,Xót xa tình đầu,Chế Phi,Nhạc trữ tình
2560,Ngàn năm mây bay,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2561,Ôm Một Bóng Hình,Dương Khắc Linh,"Pop, Ballad"
2562,Nét chữ nết người,Nguyễn Văn Chung,Nhạc thiếu nhi
2563,Quê hương và tuổi lính,Ngọc Sơn,Bolero|Ngọc Sơn
2564,Yêu Cuộc Đời Hơn,Bùi Công Nam,Nhạc trẻ
2565,Tại Vầng Đá Ngất Cao,Vĩnh Phúc,Nhạc thánh ca
2566,Tình thu xưa,Trịnh Lâm Ngân,Bolero
2567,Biển sầu,Lam Phương,Bolero|Lam Phương
2568,Con yêu của mẹ,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
2569,Cờ đỏ sao vàng,Nguyễn Văn Chung,Nhạc thiếu nhi
2570,Thằng Bờm Thời Nay,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
2571,Mời Trầu,Masew,pop|Masew
2572,Cô Dâu Trong Mơ,Tâm Tâm,"Pop, Ballad"
2573,Rồi Cũng Sẽ Quên,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2574,Yêu em âm thầm,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
2575,Cô Đơn Mình Tôi,Dương Khắc Linh,"Pop, Ballad"
2576,Thời Gian Chỉ Cho Ta Hiện Tại,Nguyễn Quốc Cường,Nhạc trẻ
2577,Bụi tro kiếp người,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
2578,Thương quá mẹ tôi,Vinh Sử,Bolero
2579,Từng Hứa,Dee Trần,Nhạc trẻ
2580,Chúa Là Đấng Từ Bi,Thế Thông,Nhạc thánh ca|Thế Thông
2581,Chôn Giấu Một Giấc Mơ,Đỗ Hiếu,Nhạc trẻ
2582,Cảm ơn tình em,Trần Quảng Nam,Nhạc trữ tình
2583,Mỹ Lan,Vinh Sử,Bolero
2584,Lời ca từ lòng đất,Đan Hùng|Tú Nhi,Đan Hùng|Tú Nhi|Bolero
2585,Còn Thương Sao Đành,Hào JK,"Pop, Ballad"
2586,Trái Cà Na,Trúc Phong,Bolero
2587,Phải lên tiếng,Anh Bằng,Bolero
2588,Hoa xoan chung tình,Ngô Sỹ Ngọc,Nhạc trữ tình
2589,Người tình cũ,Diệp Vàm Cỏ,Ca cổ
2590,Đêm sau cùng,Giao Tiên|Hương Vũ,Nhạc trữ tình
2591,Chiều quê hương,Vinh Sử,Bolero
2592,Chuyện sui gia,Giao Tiên,Bolero
2593,Trăm năm hạnh phúc,Hà Phương,Bolero
2594,Truyện ca Trên đỉnh đau thương :,Lam Phương,Bolero|Lam Phương
2595,Hương Hồng Hoa,TaynguyenSound,TaynguyenSound|Nhạc trẻ
2596,Lời giao ước,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2597,Gọi anh mùa xuân,Anh Bằng,Bolero
2598,Món Quà Yêu Thương,Vĩnh Phúc,Nhạc thánh ca
2599,Càng Xa Càng Yêu,Nguyễn Quốc Cường,Nhạc trẻ
2600,Quên Một Ai Rất Khó Nếu Còn Yêu,Nguyễn Quốc Cường,Nhạc trẻ
2601,Mượn Tiền,BÌN,POP
2602,Cưới Được Chưa,Bùi Công Nam,Nhạc trẻ
2603,Giấc mộng phù du,Nhật Thu,Nhật Thu|Nhạc trữ tình
2604,Triệu Trái Tim Thiên Thần,Nal,Nhạc trẻ
2605,Tình cuồng điên,Khúc Lan,Nhạc ngoại lời Việt
2606,Tiếng hát yêu đời,Trung Quân|Võ Hoài Phúc,Nhạc trữ tình|Võ Hoài Phúc|Hoàng Tuấn|Trung Quân
2607,Một ngày gần đây,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
2608,Tôi đã yêu người,Bằng Giang,Bolero
2609,Vĩnh biệt một loài hoa,Anh Bằng,Bolero
2610,Biển thầm,Khúc Lan,Nhạc ngoại lời Việt
2611,Sao vẫn còn yêu,Khúc Lan,Nhạc ngoại lời Việt
2612,Nhớ Huế thương,Nguyễn Cửu Dũng,Nhạc trữ tình|Nguyễn Cửu Dũng
2613,Tình Ngài Rọi Chiếu,Phạm Tôn Tẫn,Nhạc Thánh Ca
2614,Nỗi lòng thanh trúc,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
2615,Chuyện tình Trương Chi,Anh Bằng,Bolero
2616,Xuân nào ta về,Lam Phương,Bolero|Lam Phương
2617,Duy Nhất Cho Em,Dương Khắc Linh,"Pop, Ballad"
2618,Đừng Phí Duyên Trời,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2619,Yêu và yêu,Dương Khắc Linh,"Pop, Balld"
2620,Con yêu mẹ,Ngô Sỹ Ngọc,Nhạc trữ tình
2621,Chẳng Cách Nào Quên Được,Trần Đăng Quang,Nhạc trẻ|Trần Đăng Quang
2622,Tết Trong Tim Tôi,Sinike,Sinike|pop
2623,Thiên đàng đã mất,Ngọc Loan,Nhạc trữ tình|Ngọc Loan
2624,Mình Thích Thì Mình Yêu Thôi,Dương Khắc Linh,"Pop, Ballad"
2625,Sợ Người Đi Mất,Jin Tuấn Nam,Pop
2626,Gần Bên Chúa,Vĩnh Phúc,Nhạc thánh ca
2627,Tình Thôi Xót Xa,Bảo Chấn,Bảo Chấn|Nhạc ngoại
2628,Buồn cho mình,Tuấn Hải,Bolero
2629,Dụ ngôn thợ làm vườn nho,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2630,Chẳng Nỡ Xa Thanh Xuân,Tuno,"RnB, Trap"
2631,Hai tâm hồn một con số,Thái Ngọc Sơn,Bolero
2632,Thương lắm tóc dài ơi,Giao Tiên,Bolero
2633,Sao đành xa con,Phạm Hưng,Phạm Hưng|Bolero
2634,Gọi Em Đi,Đỗ Hiếu|Lục Huy,Nhạc trẻ
2635,Điệp khúc mùa xuân,Quốc Dũng,"Bolero, ĐQ Asia"
2636,Duyên tình hẹn ước,Ngọc Liên,Nhạc trữ tình
2637,Tình yêu và thân thế,Anh Bằng,Bolero
2638,Tháng 10 Cho Em,TaynguyenSound,TaynguyenSound|Nhạc trẻ
2639,Hát Làm Quen,Trần Trịnh,Bolero
2640,Màu hoa kỷ niệm,Hoài Phương,Trữ tình
2641,Tập quên Anh,Nguyễn Lê Việt Hùng,Nguyễn Lê Việt Hùng|Nhạc trẻ
2642,Mẹ miền Trung ơi,Phan Phúc Thao,Nhạc trữ tình
2643,Yêu em từ đó,Bằng Giang,Bolero
2644,Anh Sẽ Quên,Đỗ Hiếu,Nhạc trẻ
2645,Đông vừa sang,Như Việt,Như Việt|Ballad
2646,Ký Ức Về Em,Dee Trần,Nhạc trẻ
2647,Anh không muốn xa em,Giao Tiên,Bolero
2648,Đời Đời Ca Tụng,Thế Thông,Thế Thông|Nhạc thánh ca
2649,Trả lại cho người,Vũ Phương,Vũ Phương|Bolero
2650,Sau Cơn Mưa Nắng Sẽ Về,Đỗ Hiếu,Nhạc trẻ
2651,Từ thuở yêu em,Anh Bằng,Bolero
2652,Tình Xuân Ca,Đạt Long Vinh,Nhạc trẻ
2653,Thách Anh Yêu Em Đấy,Jin Tuấn Nam,Pop
2654,Tương tư áo trắng,Vinh Sử,Bolero
2655,Con đường buồn riêng anh,Vũ Tuấn,Bolero|Vũ Tuấn
2656,Kiếp tha hương,Lam Phương,Lam Phương|Bolero
2657,Bến Sông Kỷ Niệm,Quang Mạnh,Quang Mạnh
2658,Tình qua cơn bão,Lam Phương,Lam Phương|Bolero
2659,Giọt Sầu Vương Trên Mi,Nal,Nhạc trẻ
2660,Giã từ người yêu,Lam Phương,Lam Phương|Bolero
2661,Đừng Yêu Ai Qúa Nhiều,Mai Văn An,Pop
2662,Ngày mai đám cưới,Trường Lê,pop|Trường Lê
2663,Một Đôi Khóc Cười,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
2664,Mưa trong mắt em,Khúc Lan,Nhạc ngoại lời Việt
2665,Đắm say cha cha cha,Vũ Tuấn Đức,Vũ Tuấn Đức|Nhạc trữ tình
2666,Xuân vắng nhà,Vũ Phương,Bolero|Vũ Phương
2667,Làm quen với lính,Trịnh Lâm Ngân,Bolero
2668,Mây và dòng sông,Trịnh Nam Sơn,"Bolero, ĐQ Asia"
2669,Chờ em trong mưa,Tô Thanh Sơn,Bolero
2670,Đành Lòng Sao,Anh Thi,Nhạc Trẻ
2671,Chắc không bao giờ,Tuấn Hải,Bolero
2672,Lời Dạy Của Cha,Giác An|Huệ Đức,Huệ Đức|Giác An|Phật giáo
2673,Phương Xa Nhớ Mẹ,Giác An,Giác An|Phật giáo
2674,Đà Lạt cô liêu,Lam Phương,Bolero|Lam Phương
2675,Nation of America,Nguyễn Huy Điền,Nhạc trữ tình|Nguyễn Huy Điền
2676,Vòng tay yêu thương,Lê Quang,Lê Quang|Nhạc trữ tình|Hoàng Tuấn
2677,Ninh Bình đất Mẹ Hoa Lư,Ngô Sỹ Ngọc,Nhạc trữ tình
2678,Nhớ gì không em,Anh Bằng,Bolero
2679,Con cần Chúa,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2680,Tiếng Việt thiêng liêng,Nguyễn Văn Chung,Nhạc thiếu nhi
2681,Yêu người như trời cao,Giao Tiên,Bolero
2682,Tình Chỉ Một Đêm,Ngô Huỳnh,Ngô Huỳnh|Bolero
2683,Chỉ cần em,Trung Quân,Nhạc trữ tình|Trung Quân|Hoàng Tuấn
2684,Đừng Khóc Nhé,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
2685,Tình đau tháng hạ,Khúc Lan,Nhạc ngoại lời Việt
2686,Về miền đá tìm em,Ngô Sỹ Ngọc,Nhạc trữ tình
2687,Bài ca Thanh Tuyển Sinh,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2688,Hiếu Đạo Song Thân,Huỳnh Thanh Hiền,Nhạc Trữ Tình
2689,Tình em,Nguyễn Ngọc Thiện,Nhạc trữ tình|Nguyễn Ngọc Thiện|Hoàng Tuấn
2690,Hai Lúa Về Làng 2,Đông Phương Tường,Bolero
2691,Chuyện tình ttkh,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
2692,Mùa xuân ân phúc,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2693,Nỗi sầu tương tư,Hoàng Phương,Bolero
2694,Tội nghiệp thân anh,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
2695,Những lời này cho em,Trúc Phương,"Bolero, ĐQ Asia"
2696,Nhịp Bước Tình Yêu,Anh Thi,Thánh Ca
2697,Ngộ Nhận Yêu,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
2698,Mùa xuân bên em,Ngọc Liên,Nhạc trữ tình
2699,Vọng gác lưng đồi,Anh Bằng,Bolero
2700,Tìm Lại Tình Yêu,Dương Khắc Linh,"Pop, Ballad"
2701,Anh không lại,Anh Bằng,Bolero
2702,Còn nhớ còn thương,Giao Tiên,Bolero
2703,Dạ Lan Hương Tím,Jay Bach|O Buồn,O Buồn|Nhạc trẻ
2704,Nguyện Ca,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2705,Tình thứ nhất,Trần Minh Phi,Trần Minh Phi|Hoàng Tuấn|Nhạc trữ tình
2706,Một cõi vô vọng,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
2707,Về thăm chốn xưa,Anh Bằng,Bolero
2708,Đoạn tình 1,Vũ Tuấn Đức|Hoàng Việt,Vũ Tuấn Đức|Nhạc trữ tình|Hoàng Việt
2709,Người Yêu Tôi Không Có Gì Để Mặc,Lộn Xộn Band,Lộn Xộn Band|Nhạc trẻ
2710,Núi đôi,Anh Bằng,Bolero
2711,Em gái Trà Vinh,Vinh Sử,Bolero
2712,Khung trời thương nhớ,Hà Phương,Bolero
2713,Thêm Yêu Con Tim,Dương Khắc Linh,"Pop, Ballad"
2714,Tri ân (1),Giao Tiên,Bolero
2715,Tết sang,Nguyễn Văn Chung,Nhạc thiếu nhi
2716,Theo anh zìa,Trường Lê,Trường Lê|pop
2717,Loan Báo Tin Mừng,Thế Thông,Thế Thông|Nhạc thánh ca
2718,Phố Xưa Vắng Em,Ngô Huỳnh,Ngô Huỳnh|Bolero
2719,Tết Trả Hết,Nal,Nhạc trẻ
2720,Tôi xa người,Anh Bằng,Bolero
2721,Mưa bão trong lòng (Một bài độc xướng),Khúc Lan,Nhạc ngoại lời Việt
2722,Thiệp hồng mang tên em,Huỳnh Thanh Hiền,Trữ Tình
2723,Giấc mơ nồng say,Khúc Lan,Nhạc ngoại lời Việt
2724,Em gò công,Vinh Sử,Bolero
2725,Là Em Chứ Ai,BÌN,Pop
2726,Tình sao còn xa,Khúc Lan,Nhạc ngoại lời Việt
2727,Thiệp Hồng Vu Quy,Ngô Huỳnh,Bolero|Ngô Huỳnh
2728,Anh không hiểu vì sao,Nguyễn Lê Việt Hùng,Nguyễn Lê Việt Hùng|Nhạc trẻ
2729,Có Một Ai Đó Đã Đổi Thay,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2730,Duyên thơ nợ tình,Giao Tiên,Bolero
2731,Hương sơri,Hoàng Phương,Nhạc trữ tình
2732,Tiếng lòng,Sr. Hiền Hòa,Nhạc thánh ca|Sr. Hiền Hòa
2733,Nén hương dâng Mẹ,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2734,Nắng Ơi Đừng Buồn,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2735,Người Tình Trong Mơ,Vũ Xuân Hùng,Vũ Xuân Hùng|Lời Việt|Nhạc ngoại
2736,Thử Yêu Rồi Biết,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2737,Tâm sự hàng đêm,Hà Phương,Bolero
2738,Cảm Ơn Anh Đã Tìm Thấy Em,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2739,Xin vâng,Lm Mi Trầm,"Bolero, ĐQ Asia"
2740,Chỉ Một Chúa Thôi,Thế Thông,Nhạc thánh ca|Thế Thông
2741,Chúa Xuân,Thế Thông,Thế Thông|Nhạc thánh ca
2742,Mưa Dầm Thấm Đất,Đông Thiên Đức,pop|Đông Thiên Đức|Ballad
2743,Vòng tay chờ đợi,Lam Phương,Bolero|Lam Phương
2744,Một Người Lên Xe Hoa,Vĩnh Phúc,Nhạc tình ca
2745,Vì Đời Là Thế Mà,Bùi Công Nam,Nhạc trẻ
2746,Sầu tình,Khúc Lan,Nhạc ngoại lời Việt
2747,Kiếp tơ tằm,Giao Tiên,Bolero
2748,Gác vắng,Lam Phương,Lam Phương|Bolero
2749,Bà mẹ trị thiên,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2750,Thế giới hoàn mỹ,Trung Quân,Nhạc trữ tình|Trung Quân|Hoàng Tuấn
2751,Mang Theo Câu Hát,Thế Thông,Nhạc thánh ca|Thế Thông
2752,Em là niềm cay đắng,Vũ Tuấn Đức,Vũ Tuấn Đức|Nhạc trữ tình
2753,Unravel,RonOST,J-rock
2754,Tim,Anh Bằng,Bolero
2755,Áo dài quê hương,Anh Bằng,Bolero
2756,Không Hối Tiếc,Đỗ Hiếu,Nhạc trẻ
2757,Xuân Ơi,Đỗ Ái Tử,Pop
2758,Đừng nhắc đến tình yêu,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
2759,Mối tình huyền siêu,Sr. Hiền Hòa,Nhạc thánh ca|Sr. Hiền Hòa
2760,Áo dài quê hương,Anh Bằng,Bolero
2761,Nếu Mai Rời Xa,Đỗ Hiếu,Nhạc trẻ
2762,Cung đàn Thúy Kiều,Nguyễn Ngọc Thịnh,Nhạc trữ tình
2763,Nụ cười duyên thầy Thích Minh Tuệ,Danh Mã Phi Hùng,Nhạc Phật
2764,Nàng Xuân chung tình,Giao Tiên,Bolero
2765,Chuyện Về Nhiều Năm Trước,TaynguyenSound,Nhạc trẻ|TaynguyenSound
2766,Bố ơi kể chuyện con nghe,Nguyễn Văn Chung,Nhạc thiếu nhi
2767,Hai lúa về làng,Đông Phương Tường,Nhạc thiếu nhi
2768,Vắng Mẹ,Đinh Miên Vũ|Dương Thúy Trúc,Nhạc Trữ Tình
2769,Ca Khúc Tạ Ơn,Thế Thông,Nhạc thánh ca|Thế Thông
2770,Anh Chờ Em,Phúc Bồ,Pop
2771,Là Sao Em Ơi?,Bùi Công Nam,Nhạc trẻ
2772,Phá Đảo Thế Giới Ảo,Đỗ Hiếu|Lục Huy,Nhạc trẻ
2773,Gọi Tên Mỗi Ngày,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2774,Vẫn Yêu Từng Phút Giây,Đỗ Hiếu,Nhạc trẻ
2775,Đi Xuyên Thời Gian,Dương Khắc Linh,"Pop, Ballad"
2776,Chưa Quên Được,Bùi Công Nam,Nhạc trẻ
2777,Cảm Ơn Bạn,Vĩnh Phúc,Nhạc thánh ca
2778,Lỡ một cuộc tình số 8,Anh Bằng,Bolero
2779,Vỡ mộng,Giao Tiên,Bolero
2780,Trang Quynh (Viết Nguyễn),Dương Khắc Linh,"Pop, Ballad"
2781,Tình đầu muôn thuở,Lam Phương,Bolero|Lam Phương
2782,Mùa Thu Nhớ Em,Ngô Huỳnh,Bolero|Ngô Huỳnh
2783,Ru đời ru con,Anh Bằng,Bolero
2784,Làm Sao Xóa,Dee Trần,Nhạc trẻ
2785,Em đã sai,Phong Lê,Nhạc trẻ|Phong Lê
2786,Chữ Tình,Thế Thông,Thế Thông|Nhạc thánh ca
2787,Ngày mai đám cưới người ta,Giao Tiên,Bolero
2788,Chỉ Một Chúa Thôi (hợp xướng),Thế Thông,Thế Thông|Nhạc thánh ca
2789,Đừng như ong bướm,Vinh Sử,Bolero
2790,Gửi,Reddy,Nhạc trẻ
2791,Hè Gọi Bạn Ơi,Anh Thi,Học Trò
2792,Thăm Lại Chùa Xưa,Giác An,Giác An|Phật giáo
2793,Tình đã đến,Khúc Lan,Nhạc ngoại lời Việt
2794,Kỷ niệm mối tình thơ,Nguyễn Huy Điền,Nhạc trữ tình|Nguyễn Huy Điền
2795,Một Đóa Bâng Khuâng Màu E Ấp,Trần Trịnh,Bolero
2796,Đêm cắm câu,Giao Tiên,Bolero
2797,Hương cau quê ngoại,Anh Bằng,Bolero
2798,Tình cuồng si,Trần Quảng Nam,Nhạc trữ tình
2799,Khi Anh Bên Em,Dương Khắc Linh,"Pop, Ballad"
2800,Giữ trọn lời thế,Phan Phúc Thao,Nhạc trữ tình
2801,Eh Oh Ah,Johnny Dũng,Nhạc trữ tình
2802,Dẫu có biết trước,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
2803,Giá Như,Mai Phuong|Thái Sơn Beatbox,"RnB, Pop"
2804,Ơi người bạn Sài Gòn,Duy Khánh,Bolero|Duy Khánh
2805,Mãi thanh xuân,Dương Khắc Linh,"Pop, Balld"
2806,Trầu cau,Đăng Minh,Ca cổ
2807,Hai đứa vui xuân,Hùng Linh,Bolero
2808,Để Rồi Tổn Thương,Dương Khắc Linh,"Pop, Ballad"
2809,Bài hát chữ A,Phạm Thúy An,nhạc thiếu nhi
2810,Trăm Ngàn Lời Thương,Bùi Công Nam,Nhạc trẻ
2811,Noel Rock,Nguyễn Quốc Cường|Nhạc Nước Ngoài,Nhạc trẻ
2812,Ngàn Mắt Ngàn Tay,Giác An,Giác An|Phật giáo
2813,Ngàn Năm Tha Thiết,Vũ Xuân Hùng,Nhạc ngoại|Vũ Xuân Hùng|Lời Việt
2814,Tàu về tương lai,Lam Phương,Lam Phương|Bolero
2815,Nhật ký mùa đông,Hà Phương,Bolero
2816,Rap Hay Là Do Beat,Jay Bach|O Buồn,Nhạc trẻ|O Buồn
2817,Đành rằng tình vỗ cánh bay,Ngân Giang,Ngân Giang|Nhạc trữ tình
2818,Ngắm Hoa Lệ Rơi,Lý Bông Dừa,Ca cổ
2819,Ái Ân Ngày Đầu,Vũ Xuân Hùng,Lời Việt|Vũ Xuân Hùng|Nhạc ngoại
2820,Tiếng hát em,Anh Bằng,Bolero
2821,Gọi tên anh,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2822,Cát biển chiều nay,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
2823,Phải Lòng Cô Gái Cà Mau,Lý Bông Dừa,Ca cổ
2824,Tôi Là Người Việt Nam,Dương Khắc Linh,"Pop, Ballad"
2825,Khi Chúa Vào Đời,Vĩnh Phúc,Nhạc thánh ca
2826,Nói cùng Tô Thị,Ngô Sỹ Ngọc,Nhạc trữ tình
2827,Tết Cho Mọi Nhà,Dương Khắc Linh,"Pop, Ballad"
2828,Sợ,Reddy,Nhạc trẻ
2829,Hà Tĩnh Nhớ,Phạm Tôn Tẫn,Nhạc Trữ tình quê hương
2830,Tháng Hoa Đến Rồi,Thế Thông,Nhạc thánh ca|Thế Thông
2831,Nơi Ta Gặp Nhau,RonOST,Pop Ballad
2832,Đừng Bỏ Lỡ,Hà Nhi,Hà Nhi|Ballad
2833,Chuyện người miền xa,Hoài Phương,Trữ tình
2834,Cuộc tình buồn,Nguyệt Ca,Nhạc trữ tình|Nguyệt Ca
2835,Hát Cho Những Phố Phường,TaynguyenSound,TaynguyenSound|Nhạc trẻ
2836,Một vì sao nhỏ,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2837,Mùa thu đi qua,Phan Phúc Thao,Nhạc trữ tình
2838,Nếu đã yêu,Khúc Lan,Nhạc ngoại lời Việt
2839,Không Thể Quên Em,Đỗ Hiếu,Nhạc trẻ
2840,Cô bắc kỳ nho nhỏ,Phan Ni Tấn,Nhạc trữ tình
2841,Ngày Anh Đi,Đỗ Hiếu,Nhạc trẻ
2842,Bye Bye,Dương Khắc Linh,"Pop, Ballad"
2843,Gió cuốn hoa trôi,Khúc Lan,Nhạc ngoại lời Việt
